origin,destination,sexo,flow
4625004,4600502,mujer,66.32300000000001
4624404,4625019,hombre,337.637
0301408,0306501,mujer,422.82400000000007
0311302,0313301,mujer,140.567
1204004,1204007,hombre,5233.762000000001
4625011,46094,hombre,350.47900000000004
03093,03005_AM,mujer,38.866
46109,4625014,mujer,10.672
4624402,46094,mujer,234.465
46166,46216,hombre,20.814
12031,12028,hombre,525.194
4625016,4625005,mujer,4265.792
4617101,46205,hombre,32.173
0305003,0301407,hombre,63.00000000000001
46022_AM,46230,hombre,331.26300000000003
0301401,0306602_AD,mujer,60.421
4625015,4622006,mujer,24.477999999999998
4615903,4625003,mujer,218.45700000000002
4601703,46203_AM,mujer,46.056
4622003_AD,1213504,mujer,21.326
0300901,0300906,mujer,673.952
03006_AM,03101,mujer,120.377
4613101,4613103,mujer,609.83
4601702,4613103,mujer,2.0
4622006,1200901,mujer,11.0
03097_AM,0306303,mujer,93.0
03107,0304701,mujer,6.0
4613105,46055_AM,mujer,262.375
03002_AM,03083,hombre,63.0
4625006,4618402,hombre,4.0
03070,03055,hombre,124.486
0300908,0300904,hombre,1866.315
0312203,03035_AM,hombre,32.426
46122,4622003_AD,hombre,162.5
03042,03012,hombre,2.0
03024,0306507,hombre,50.012
03123_AM,0301402,hombre,27.300999999999995
4613105,46195_AM,hombre,121.914
46230,46022_AM,hombre,246.63099999999997
4618402,46173_AM,hombre,612.415
46255_AM,4613106,hombre,146.753
1203203,1203203,hombre,244.653
1208401,1203201,hombre,14.0
0309907,0301904,hombre,14.0
46128_AM,46257,hombre,4.0
03074_AM,0309905,hombre,38.0
46081,46020,mujer,2942.448
4625013,46237,mujer,129.86599999999999
46230,4623502,mujer,17.837
4608302,4601702,mujer,284.257
0310404,03093,mujer,632.637
0301802,03011,mujer,1491.261
1204006,12128_AM,mujer,126.81599999999997
03094,0301801,mujer,342.53599999999994
4617102,46135,hombre,1050.374
4617102,4625002,mujer,54.554
03112_AM,0301404,hombre,111.63999999999999
46039,46118_AM,hombre,805.0989999999999
0301403,0305905,hombre,41.934000000000005
03094,0303103,mujer,2465.2709999999997
0309001,0306507,hombre,69.15799999999999
46085,4608302,mujer,13.0
0301903,0310404,mujer,62.777
46042,46060,mujer,3.0
0308201,03128,mujer,162.475
4615901,1208201,mujer,10.0
46063_AM,4603101,mujer,4.0
46177_AM,4614702,mujer,12.497
1204004,12004,mujer,17.0
0309907,0309901,mujer,463.671
46165,4625008,hombre,166.32
03138,4613106,hombre,8.0
03118,0309908,hombre,36.0
1207701,1200903,hombre,30.0
03081,0308202,hombre,10.0
46160_AM,4601705,hombre,55.319
1213503,12050_AM,hombre,3.0
03088,03055,hombre,16.0
0308202,0306301,hombre,49.124
0308201,03011,hombre,13.0
12072_AM,12021,hombre,26.328
03024,0309904,hombre,161.095
1213503,12124,hombre,31.0
4601901,0305901,hombre,3.0
0301802,03107,hombre,136.332
46016_AM,46118_AM,hombre,81.0
0306605,0306602_AD,mujer,2020.657
0301501,03076,hombre,513.151
12033_AM,1208402,mujer,58.169
1204004,1203202,mujer,68.854
4618402,46004_AM,mujer,1807.445
46182_AM,4625015,hombre,30.954
03076,03093,hombre,12.524999999999999
03107,0303104,hombre,243.45600000000002
4625019,4625011,hombre,873.1879999999999
12021,1213502,hombre,180.898
03076,0309905,mujer,443.57900000000006
0304102,03128,hombre,2381.245
4625005,46022_AM,mujer,26.508000000000003
4625010,4625003,mujer,3231.237000000001
4617102,4617101,hombre,1895.181
46177_AM,4620402,mujer,146.66299999999998
0301401,03094,mujer,33.672000000000004
46164,46190,hombre,179.06199999999998
4625013,46116,mujer,64.53200000000001
4625010,0306507,mujer,12.782
4600502,4625019,mujer,78.12800000000001
46111,46230,mujer,36.343
0306604,0310401,mujer,236.90400000000005
0301405,0305905,mujer,33.281
0301501,03013_AM,mujer,9.0
4613107,46200_AM,mujer,23.0
46020,46020,mujer,1226.991
0308202,03006_AM,mujer,18.0
46020,46157,hombre,81.499
4623501,4623503,hombre,938.0829999999999
03024,0313302,hombre,66.434
4625017,4625008,hombre,55.33
4625019,46060,hombre,174.35199999999995
12106_AM,12128_AM,hombre,3.0
1200901,4613104,hombre,2.0
