origin,destination,sexo,flow
1204004,1204007,hombre,4906.23625
4615903,46021,mujer,888.9507500000002
4625016,4625005,mujer,4216.3054999999995
0303103,03094,mujer,2144.65725
46060,4625005,hombre,24.468250000000005
46085,46190,mujer,81.70174999999998
4625011,46094,hombre,363.79149999999987
0303104,0306304,hombre,13.92275
46022_AM,46230,hombre,743.4555000000003
46165,46903,hombre,21.769000000000002
03024,0306507,hombre,56.071
4625005,46199,mujer,84.636
4607801,46102,hombre,227.45325000000003
46214_AM,4622006,hombre,105.91075
46186,46013,mujer,64.19500000000001
4625004,4600502,mujer,129.619
4625019,0308203,hombre,6.433
4615903,4625003,mujer,374.9530000000001
46165,4623501,hombre,50.07500000000001
46135,46013,mujer,178.14375000000004
46186,46116,mujer,32.37275
4615901,46111,mujer,145.72224999999997
4613101,4613103,mujer,549.9345
46122,4622003_AD,hombre,176.59949999999998
4625014,4625012,hombre,863.5245
0300908,0300904,hombre,1680.8635000000002
4625010,46094,mujer,1222.9329999999998
0306502,0306506,mujer,4388.231749999998
0309908,0304901,mujer,1132.7744999999998
46022_AM,46186,mujer,2173.5775
4625003,4607002,mujer,308.20974999999993
46021,46022_AM,hombre,218.32450000000003
4625002,12027,hombre,6.5405
46256,46193,hombre,20.87
46054,46190,mujer,159.68974999999998
03064,0304901,hombre,134.43775
4625019,4625008,hombre,835.8820000000001
4624403,1204007,mujer,4.8622499999999995
4625008,4622003_AD,hombre,32.38375
46223,46202,mujer,23.377999999999997
0309905,03902,mujer,2305.975
4625003,46205,mujer,136.19925
46058_AM,46223,mujer,3.79975
46255_AM,4613106,hombre,159.2585
03096,03123_AM,hombre,37.62125
4625015,4622006,mujer,63.04375
4625012,4625004,hombre,851.4064999999999
4625012,46173_AM,hombre,6.44175
46193,46135,hombre,40.643750000000004
0311302,0313301,mujer,139.9795
12031,12028,hombre,622.9549999999999
46166,4625004,mujer,99.87549999999999
46230,46022_AM,hombre,771.4145
46186,12053,mujer,4.1655
46165,46230,mujer,366.7065000000001
03123_AM,0301402,hombre,36.12050000000001
4613105,46195_AM,hombre,118.38949999999998
46009,4625009,hombre,17.95375
4608302,46011_AM,mujer,147.53025
03064,03005_AM,hombre,205.35574999999997
03026_AM,0310201,mujer,38.112
4601703,46203_AM,mujer,29.018
12901,1204002,mujer,21.57
03055,0306504,mujer,85.14749999999998
4615901,46228,mujer,12.035
1204007,46160_AM,mujer,1.25
4601901,46063_AM,mujer,105.90849999999999
03034_AM,03013_AM,mujer,2.25
0300901,0300906,mujer,550.0110000000001
4624402,46094,mujer,226.05675
4625005,0305905,mujer,0.25
46190,46258,mujer,35.475249999999996
03093,03005_AM,mujer,29.293000000000003
03035_AM,0303104,mujer,61.6775
03005_AM,03024,mujer,80.85525
12104,46260,mujer,2.0
46001_AM,46097_AM,mujer,1.5
03034_AM,0306601,mujer,0.75
46013,46025,mujer,58.39724999999999
46160_AM,46084_AM,mujer,66.436
4622003_AD,46122,mujer,196.695
1203205,1213501,mujer,68.3735
4601701,4625001,mujer,34.930249999999994
0307901,03002_AM,mujer,129.2355
4613104,0308203,mujer,20.88925
0313302,0304901,mujer,51.2655
46126,4625012,mujer,69.44875
46126,12033_AM,mujer,1.0
46009,46228,mujer,11.0
1204008,12106_AM,mujer,11.25
46177_AM,46228,mujer,28.816
0301802,0310203,mujer,0.75
46039,4625011,mujer,2.5
4620402,46014,mujer,63.69475000000001
03074_AM,0311902,mujer,7.3365
4601702,4613103,mujer,8.0
46011_AM,4623503,mujer,10.52875
03107,0304701,mujer,17.75
03028_AM,4613104,mujer,19.3175
12027,46190,mujer,3.3609999999999998
46032,4622007,mujer,19.361749999999997
46170,46257,mujer,18.80825
0309002,0305901,mujer,1.75
4625010,0303103,mujer,12.07475
46029,46251_AM,mujer,11.346499999999999
4613103,0310203,mujer,29.373749999999998
0308202,03042,mujer,251.74699999999999
0306605,03002_AM,mujer,8.78375
46216,4625012,hombre,48.96375
46156,4624404,hombre,13.6475
12072_AM,12129_AM,hombre,117.54625
46055_AM,4618402,hombre,14.13925
46085,46093,hombre,502.95500000000004
1208403,1208401,hombre,942.673
0309907,0301904,hombre,11.668000000000001
46166,46216,hombre,33.351
46178,4625012,hombre,67.95475
4613107,46200_AM,hombre,18.5
46200_AM,0300907,hombre,8.0
46150_AM,4613102,hombre,170.78750000000002
46077,4625016,hombre,43.712999999999994
46155_AM,4601701,hombre,35.01925
1203201,12031,hombre,33.298249999999996
0311901,0311901,hombre,451.96274999999997
1203203,1203203,hombre,166.37075
03070,03055,hombre,124.7865
46116,4608302,hombre,1.8362500000000002
46082,4625005,hombre,19.957500000000003
46097_AM,46044,hombre,703.1957500000002
46230,46106_AM,hombre,7.0329999999999995
4601701,46111,hombre,8.054
03043,0306602_AD,hombre,23.8975
03074_AM,0309905,hombre,29.17825
4613102,46034,hombre,196.13850000000005
46156,4625007,hombre,10.6965
0300907,03002_AM,hombre,10.752749999999999
46170,4603103,hombre,5.299
12011_AM,1208201,hombre,82.25225
4625001,0304702,hombre,9.746
0306506,0305903,hombre,19.98625
1208402,1212602,hombre,99.97300000000001
0306506,0301903,hombre,37.651250000000005
1207701,46166,hombre,2.0
46008,4624404,hombre,7.75
12031,12011_AM,hombre,7.5595
4623503,4618401,hombre,1.25
03002_AM,03083,hombre,63.086499999999994
4618402,46173_AM,hombre,594.04925
4623502,4614702,hombre,5.793
4603103,46223,hombre,26.099999999999998
46155_AM,4624403,hombre,3.5612500000000002
