,time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,ID
0,2024-09-01,26.9,22.7,30.9,0.0,,,10.5,,1012.8,,03002_AM
1,2024-09-02,27.6,25.0,31.6,0.0,,,9.7,,1012.4,,03002_AM
2,2024-09-03,26.1,23.7,30.6,0.0,,,12.5,,1012.7,,03002_AM
3,2024-09-04,25.4,21.5,30.6,0.5,,,15.6,,1012.5,,03002_AM
4,2024-09-05,24.9,22.6,28.8,10.2,,,12.3,,1011.7,,03002_AM
5,2024-09-06,26.2,22.1,30.9,0.0,,,12.7,,1007.1,,03002_AM
6,2024-09-07,24.6,19.8,28.3,0.0,,,10.7,,1008.9,,03002_AM
7,2024-09-08,25.4,22.7,28.8,0.5,,,15.4,,1011.2,,03002_AM
8,2024-09-09,24.0,18.7,27.1,0.0,,,14.1,,1015.6,,03002_AM
9,2024-09-10,24.0,20.6,27.6,0.0,,,10.1,,1016.3,,03002_AM
10,2024-09-11,24.6,19.7,29.4,0.0,,,11.7,,1014.8,,03002_AM
11,2024-09-12,25.7,20.8,30.1,0.0,,,15.5,,1013.7,,03002_AM
12,2024-09-13,22.8,20.5,24.7,0.0,,,37.3,,1018.7,,03002_AM
13,2024-09-14,22.4,19.0,26.7,0.0,,,20.8,,1022.6,,03002_AM
14,2024-09-15,22.3,16.4,27.6,0.0,,,11.9,,1019.2,,03002_AM
15,2024-09-16,22.9,17.7,27.9,0.0,,,9.3,,1015.5,,03002_AM
16,2024-09-17,22.9,17.9,26.9,0.0,,,14.1,,1013.3,,03002_AM
17,2024-09-18,22.4,18.4,25.8,0.0,,,19.8,,1014.4,,03002_AM
18,2024-09-19,21.0,18.7,24.3,1.0,,,16.8,,1014.8,,03002_AM
19,2024-09-20,22.1,17.4,26.6,4.6,,,14.9,,1015.1,,03002_AM
20,2024-09-21,23.3,21.9,26.3,0.5,,,15.2,,1014.6,,03002_AM
21,2024-09-22,23.4,19.5,27.8,1.5,,,9.7,,1014.2,,03002_AM
22,2024-09-23,23.5,19.3,28.4,0.0,,,12.5,,1013.9,,03002_AM
23,2024-09-24,24.4,18.4,30.8,0.0,,,15.5,,1013.2,,03002_AM
24,2024-09-25,24.6,19.2,31.3,0.0,,,21.8,,1014.7,,03002_AM
25,2024-09-26,25.9,19.5,32.5,0.0,,,20.6,,1012.2,,03002_AM
26,2024-09-27,26.2,20.9,31.7,0.0,,,20.8,,1013.2,,03002_AM
27,2024-09-28,22.2,14.8,25.4,0.0,,,26.1,,1020.9,,03002_AM
28,2024-09-29,20.9,15.1,26.0,0.0,,,13.7,,1023.5,,03002_AM
29,2024-09-30,21.2,16.0,26.1,0.0,,,10.3,,1021.0,,03002_AM
30,2024-10-01,21.9,16.4,27.4,0.0,,,10.9,,1016.3,,03002_AM
31,2024-10-02,25.5,19.7,32.1,0.0,,,23.3,,1010.2,,03002_AM
32,2024-10-03,25.0,19.5,30.0,0.0,,,21.9,,1009.5,,03002_AM
33,2024-10-04,21.5,17.2,25.3,0.0,,,11.4,,1013.4,,03002_AM
34,2024-10-05,22.6,17.6,27.6,0.0,,,10.8,,1013.5,,03002_AM
35,2024-10-06,25.8,20.8,33.5,0.0,,,20.7,,1011.2,,03002_AM
36,2024-10-07,23.6,19.5,27.9,0.0,,,10.7,,1007.5,,03002_AM
37,2024-10-08,23.6,18.8,28.4,0.0,,,24.8,,1010.1,,03002_AM
38,2024-10-09,22.0,16.2,28.2,0.0,,,17.4,,1007.8,,03002_AM
