,ID
0,FRI33
1,FR106
2,FRI31
3,PT16H
4,PT170
5,FRJ11
6,FR108
7,FRC23
8,PT11C
9,FRG03
10,FRG05
11,FRB06
12,FRC24
13,PT184
14,FRE23
15,FRG02
16,FRJ26
17,FR103
18,FRK24
19,FRF22
20,FRI13
21,FRF23
22,FRF34
23,FRJ13
24,FRE21
25,PT185
26,PT16G
27,FRJ23
28,FRK13
29,FRB02
30,PT16I
31,FRJ28
32,PT119
33,FRJ12
34,PT150
35,FRB03
36,FRD21
37,FR101
38,FRI34
39,PT112
40,FRK14
41,FRF21
42,FRH03
43,PT186
44,FRE22
45,FRE11
46,FRF12
47,FRL04
48,PT11A
49,FRF31
50,FRL06
51,FRI32
52,FRC13
53,FRK21
54,FR102
55,FRK28
56,FRC11
57,FRL02
58,FRJ25
59,FRC12
60,FRD12
61,FRG01
62,FRD13
63,FRF32
64,FRK27
65,PT16F
66,PT181
67,FRK26
68,FRH04
69,FRJ21
70,PT111
71,externo
72,FRI21
73,FRC22
74,FRJ14
75,FRD22
76,FRI22
77,PT16E
78,FRB04
79,FRF11
80,PT11D
81,FRC21
82,FR104
83,PT16J
84,FRL01
85,FRC14
86,FRK12
87,FRF33
88,FRJ22
89,FRJ24
90,FRK11
91,FRB01
92,FR107
93,FR105
94,FRI12
95,PT11E
96,PT16B
97,FRL05
98,FRK22
99,FRE12
100,FRI11
101,FRL03
102,PT16D
103,FRK23
104,FRI15
105,FRJ27
106,FRF24
107,FRI23
108,FRH02
109,FRI14
110,PT11B
111,FRJ15
112,FRG04
113,FRB05
114,FRH01
115,PT187
116,FRD11
117,FRK25
